Model,Seed,Param_LR,Param_Ent,Param_Gamma,Ortalama_Skor,Standart_Sapma
Rastgele Politika,Yok,Yok,Yok,Yok,0.06,0.23748684174075835
DQN_baseline_seed1,1,Yok,Yok,Yok,7.92,6.282801922709326
PPO_baseline_seed1,1,Yok,Yok,Yok,8.5,5.977457653551382
RECURRENT_PPO_seed1_ent0.005_lr0.0003,1,0.0003,0.005,Yok,7.54,5.797275222033193
RECURRENT_PPO_seed1_ent0.02_lr0.0001,1,0.0001,0.02,Yok,2.52,2.5079074943067576
RECURRENT_PPO_seed1_ent0.02_lr0.0003,1,0.0003,0.02,Yok,6.2,4.39089968002003
RECURRENT_PPO_seed1_ent0.02_lr0.0003_gamma0.9,1,0.0003,0.02,0.9,9.02,6.506888657415308
RECURRENT_PPO_seed1_ent0.02_lr0.0003_gamma0.95,1,0.0003,0.02,0.95,7.8,5.582114294781145
RECURRENT_PPO_seed1_ent0.02_lr0.001,1,0.001,0.02,Yok,7.1,5.859180830116101
RECURRENT_PPO_seed1_ent0.05_lr0.0003,1,0.0003,0.05,Yok,7.74,5.027166199759065
RECURRENT_PPO_seed2_ent0.02_lr0.0003,2,0.0003,0.02,Yok,7.5,6.050619802962338
RECURRENT_PPO_seed3_ent0.02_lr0.0003,3,0.0003,0.02,Yok,7.08,6.167138720671038
RECURRENT_PPO_seed4_ent0.02_lr0.0003,4,0.0003,0.02,Yok,7.48,5.668297804455937
RECURRENT_PPO_seed5_ent0.02_lr0.0003,5,0.0003,0.02,Yok,7.78,6.22347169994369
